genes	logFC	logCPM	LR	PValue	FDR
AC069224.1	-0.31885155961608	5.62502035663852	0.566176163240812	0.451782420824829	1
AC000068.3	-0.358221704203	5.24294749785	0.566129005794529	0.451801259706828	1
AC010978.1	0.635613976663192	4.22634822032517	0.565996583756341	0.451854167427901	1
C17orf82	-0.487266349079373	4.59021251194714	0.565790860955346	0.451936380863777	1
AP000785.1	0.654686420739515	4.17234644990906	0.565168077564174	0.452185407834009	1
AC115618.3	0.256471212199229	6.49256856440651	0.564477656938756	0.452461731441408	1
AC015727.1	0.745330315073198	3.94805335388496	0.563891704159083	0.452696451883693	1
AC004241.2	0.415764483346958	4.85398734596389	0.563758986245197	0.452749642399061	1
AL359715.1	-0.233756105181006	7.01369319660213	0.563076228596035	0.453023431958702	1
RFPL3S	-0.353382291622488	5.26642960508574	0.562229722415559	0.453363246057298	1
AC007601.1	-0.6999948359755	3.91064592169459	0.562002385880724	0.4534545741442	1
AL161937.1	-0.580356392590848	4.27677078658969	0.561723239990815	0.45356675511767	1
AP001001.1	0.466719421521683	4.65567803109289	0.561635296276712	0.453602106269516	1
ABHD15-AS1	0.522380751646283	4.46977904661406	0.561298774738923	0.453737419352312	1
AC026992.1	0.726984575782252	4.04283566392164	0.560583927044373	0.454025065143987	1
AL021392.1	0.622412136740212	4.24933046346936	0.560482913709301	0.454065734728458	1
AC034229.4	0.645485054314652	3.8900503883315	0.560147288751438	0.454200903784075	1
AC107959.3	0.5370404852834	4.4918550787992	0.559828241584853	0.454329454913607	1
AP000355.1	-0.20707664272446	8.96353802256808	0.559110233722237	0.454618965195092	1
AC073896.2	-0.275143345956586	6.07153858266848	0.559027105524489	0.454652502305036	1
STRA6LP	0.707679006924338	4.09587982974911	0.558644076576257	0.454807081142798	1
AC093323.3	-0.674888532591283	4.11634902894276	0.557460953228336	0.455285075843671	1
AC025594.2	-0.658482024237772	4.16296435801017	0.557078348080896	0.455439821554717	1
AL132639.3	-0.461529495705562	4.66356278158012	0.556761738904861	0.455567937591285	1
AL365181.3	-0.507974284183928	6.18015498016497	0.555632730153377	0.456025253541704	1
AC013451.2	-0.63963365654539	4.20040640319282	0.555524036924819	0.456069318927069	1
AC090164.4	-0.247305642725315	6.71060241356572	0.554697702150527	0.456404543217444	1
AC009404.1	0.206538438149083	8.49838385054695	0.553881315883903	0.456736113067213	1
AC008781.1	-0.394206667482837	4.98134816708176	0.553639920780462	0.456834226823317	1
AC012511.1	-0.553416557417299	4.35349916554952	0.553466043618052	0.456904918862855	1
AC095032.1	-0.746239779310832	4.05942374996483	0.552884153323006	0.457141619509587	1
LINC02367	-0.48378830439696	4.56030569959591	0.552795088488082	0.457177866266482	1
AC127496.7	-0.30928314515903	5.75937848418408	0.552793998952588	0.457178309703317	1
AP001160.3	-0.237868119658725	6.82308200984329	0.552307060530737	0.457376559751878	1
AC130462.1	-0.746941294347873	4.02876302863808	0.5522966863028	0.457380784946959	1
